puma_geoid,tract_geoid
79500US0607314,14000US06073009505
79500US0607314,14000US06073017022
79500US0607314,14000US06073014601
79500US0607314,14000US06073009504
79500US0607314,14000US06073014804
79500US0607314,14000US06073014500
79500US0607314,14000US06073014700
79500US0607314,14000US06073013701
79500US0607314,14000US06073014803
79500US0607314,14000US06073003003
79500US0607314,14000US06073017010
79500US0607314,14000US06073009802
79500US0607314,14000US06073002001
79500US0607314,14000US06073009509
79500US0607314,14000US06073014400
79500US0607314,14000US06073015200
79500US0607314,14000US06073016605
79500US0607314,14000US06073016901
79500US0607314,14000US06073017044
79500US0607314,14000US06073017049
79500US0607314,14000US06073015000
79500US0607314,14000US06073015100
79500US0607314,14000US06073009706
79500US0607314,14000US06073017047
79500US0607314,14000US06073009704
79500US0607314,14000US06073009502
79500US0607314,14000US06073002801
79500US0607314,14000US06073002905
79500US0607314,14000US06073013801
79500US0607314,14000US06073009400
79500US0607314,14000US06073016612
79500US0607314,14000US06073014805
79500US0607314,14000US06073009602
79500US0607314,14000US06073009506
79500US0607314,14000US06073009604
79500US0607314,14000US06073009703
79500US0607314,14000US06073009603
79500US0607314,14000US06073009705
79500US0607314,14000US06073009801
79500US0607314,14000US06073009804
79500US0607314,14000US06073009805
79500US0607314,14000US06073014602
79500US0607314,14000US06073008511
79500US0607314,14000US06073013601
79500US0607314,14000US06073009507
79500US0607314,14000US06073016201
79500US0607314,14000US06073015302
79500US0607314,14000US06073009304
79500US0607314,14000US06073016606
79500US0607314,14000US06073002703
79500US0607314,14000US06073009510
79500US0607314,14000US06073009306
79500US0607314,14000US06073014901
79500US0607314,14000US06073014902
79500US0607314,14000US06073014806
79500US0607314,14000US06073009511
79500US0607314,14000US06073002904
79500US0607308,14000US06073008359
79500US0607308,14000US06073008354
79500US0607308,14000US06073008360
79500US0607308,14000US06073017050
79500US0607308,14000US06073017054
79500US0607308,14000US06073017053
79500US0607308,14000US06073017051
79500US0607308,14000US06073017045
79500US0607308,14000US06073020801
79500US0607308,14000US06073017022
79500US0607308,14000US06073009504
79500US0607308,14000US06073017041
79500US0607308,14000US06073017032
79500US0607308,14000US06073017010
79500US0607308,14000US06073016901
79500US0607308,14000US06073017019
79500US0607308,14000US06073017042
79500US0607308,14000US06073017044
79500US0607308,14000US06073017046
79500US0607308,14000US06073017049
79500US0607308,14000US06073017047
79500US0607308,14000US06073017015
79500US0607308,14000US06073020710
79500US0607308,14000US06073009400
79500US0607308,14000US06073017020
79500US0607308,14000US06073017030
79500US0607308,14000US06073017006
79500US0607308,14000US06073017021
79500US0607308,14000US06073017014
79500US0607308,14000US06073017018
79500US0607308,14000US06073017009
79500US0607308,14000US06073017031
79500US0607308,14000US06073017037
79500US0607308,14000US06073017034
79500US0607308,14000US06073017039
79500US0607308,14000US06073017040
79500US0607308,14000US06073017043
79500US0607308,14000US06073017048
79500US0607308,14000US06073017055
79500US0607308,14000US06073017052
79500US0607308,14000US06073017056
79500US0607307,14000US06073016202
79500US0607307,14000US06073016401
79500US0607307,14000US06073016502
79500US0607307,14000US06073020810
79500US0607307,14000US06073020811
79500US0607307,14000US06073021206
79500US0607307,14000US06073021205
79500US0607307,14000US06073020801
79500US0607307,14000US06073021302
79500US0607307,14000US06073009504
79500US0607307,14000US06073020903
79500US0607307,14000US06073016802
79500US0607307,14000US06073016806
79500US0607307,14000US06073021204
79500US0607307,14000US06073020904
79500US0607307,14000US06073017010
79500US0607307,14000US06073016811
79500US0607307,14000US06073016902
79500US0607307,14000US06073016809
79500US0607307,14000US06073016901
79500US0607307,14000US06073016608
79500US0607307,14000US06073016609
79500US0607307,14000US06073016701
79500US0607307,14000US06073015406
79500US0607307,14000US06073016702
79500US0607307,14000US06073015501
79500US0607307,14000US06073020807
79500US0607307,14000US06073021303
79500US0607307,14000US06073020710
79500US0607307,14000US06073020902
79500US0607307,14000US06073015602
79500US0607307,14000US06073016807
79500US0607307,14000US06073020709
79500US0607307,14000US06073020805
79500US0607307,14000US06073020806
79500US0607307,14000US06073020809
79500US0607307,14000US06073016612
79500US0607307,14000US06073017020
79500US0607307,14000US06073016617
79500US0607307,14000US06073016804
79500US0607307,14000US06073016810
79500US0607307,14000US06073016402
79500US0607307,14000US06073017021
79500US0607307,14000US06073015502
79500US0607307,14000US06073016503
79500US0607307,14000US06073016607
79500US0607304,14000US06073017107
79500US0607304,14000US06073990100
79500US0607304,14000US06073017813
79500US0607304,14000US06073020027
79500US0607304,14000US06073017109
79500US0607304,14000US06073017110
79500US0607304,14000US06073019809
